hip,ra,dec,hp_mag
88,0.26915945484968373,-48.80985914414548,5.869
107,0.3338017794260248,-50.33739915813056,5.6243
122,0.39937881016060844,-77.06529443444921,4.9354
124,0.4042452902189095,61.22280390241644,5.6725
145,0.4559890857788624,-3.027479149829299,5.0831
154,0.48996493299063687,-6.013971448657128,4.412
171,0.5401885397398147,27.08448917359553,5.8735
183,0.582975331925111,-29.720448379999148,4.9895
194,0.6239892322640899,8.485578399076827,5.7806
301,0.9348852533901731,-17.335969941159448,4.5366
330,1.0569320762212224,62.28766467746866,5.9712
343,1.0823395974378234,-16.52888976508928,5.9562
355,1.1255097384951078,-10.509494365627921,5.0996
377,1.1718875379318086,-71.43685826472647,5.5635
379,1.1743227403414074,67.16638778960937,5.8511
418,1.275552373545638,61.31396450710933,5.7814
443,1.333940674712054,-5.707832380977229,4.7803
476,1.4247324492834885,13.396282330845827,5.7076
522,1.5777631279905613,-49.07509411884783,5.8163
531,1.6105283726770039,64.19616865526758,5.5684
636,1.9452321079937014,-22.508475357936437,5.9806
655,2.014655312733751,-33.52933373065939,5.8385
677,2.0965338521764996,29.090828370625943,2.0371
729,2.2597424156464054,18.212025205948517,5.7323
746,2.2920403043889377,59.15021805887627,2.3579
761,2.33758602586766,-27.987903797626092,5.51
765,2.352249832121268,-45.74698832255601,4.0452
813,2.50910231693878,11.145809065980865,5.5212
814,2.5094540671883667,-82.22399741253307,5.453
841,2.5801749067428283,46.07227154310094,5.1174
910,2.8162836693325355,-15.467322729595613,5.0025
930,2.893404550591012,-27.799778411184068,5.577
950,2.9328672020771416,-35.13339601678734,5.3425
983,3.0414545358329024,-17.938217602337943,5.4056
1067,3.3089584749701793,15.183616099781098,2.7544
1074,3.3314515661477557,-84.99402083617971,5.8488
1086,3.378897169838508,41.035726753654785,5.7891
1158,3.614967590092565,-7.780537984155736,5.1798
1168,3.6504503965196244,20.20669713161639,4.8756
1170,3.660136162102642,-18.932686295288974,4.5262
1191,3.7270887900188217,-9.569550737154701,5.7506
1288,4.036606899213816,-31.44632826000347,5.811
1354,4.237711750690368,61.53319401326857,5.8988
1366,4.273065532751542,38.68167907164564,4.6349
1372,4.287667585613991,47.94741501317133,5.839
1473,4.582105359697474,36.785327265120856,4.5377
1493,4.659240547712095,31.517233998767995,5.8849
1562,4.857012944871872,-8.82382953955672,3.7314
1599,5.007975973594922,-64.87762320525633,4.3442
1630,5.101633304905456,30.93561532776935,5.8586
1645,5.149434257020749,8.190248248957007,5.5386
1647,5.162678038945327,-69.62491143785334,5.496
1657,5.189744823018315,32.91122837961042,5.9028
1686,5.280107950674479,37.968699392551805,5.2579
1708,5.379901986556807,-28.981295215330718,5.3382
